ACCESSION_NUMBER	BORROW_AGGREGATE_ID	AMOUNT	COLLATERAL	INVESTMENT_CAT	OTHER_DESC
0001193125-25-251553	53171	9732893	9444176.54	UST	
0001193125-25-251558	53173	152239313.7468	135745310.6185	UST	
0000035402-25-001329	53192	349071909	334727105.98	UST	
0000035402-25-002118	53809	11802540	11976787.85	UST	
0000035402-25-002136	53818	180876061	183546552.87	UST	
0001410368-25-032006	54247	8449253.37	8256682.81	UST	
0001193125-25-293563	53764	52835293	50087665.84	UST	
0000777535-25-000042	54253	699983630.29	731337818.4	UST	
0001410368-25-032038	54312	9844994.05	9749115.37	ACMBS	
0001410368-25-032038	54313	244167755.94	229999835.9	UST	
0001410368-25-032043	54314	10727855.43	10644652.65	UST	
0001410368-25-031990	54236	19270934	19083257.85	ACMBS	
0001410368-25-031990	54237	148960917.27	143488645.81	UST	
0001193125-25-293305	53727	764840579.6342	771923033.2142	UST	
0001193125-25-293318	53729	74440824.0328	67268622.0248	UST	
0002071691-25-006501	53735	20543116.26532213	21092456.09746028	UST	
0000777535-25-000037	54077	13047290	13443862.21	AMBS	
0000777535-25-000037	54078	78784133.67	82867581.46	UST	
0001410368-25-031937	54196	921851791.33	863261580.11	UST	
0001193125-25-251548	53170	4351574.4722	4382714.7862	UST	
0001410368-25-028395	53679	25827901.22	25550519.81	UST	
0000035402-25-001373	53199	511964	509531.67	UST	
0001193125-25-293282	53725	49687247	50064315.03	UST	
0001193125-25-293324	53733	1950552136.3641	1803869166.9872	UST	
0001193125-25-251567	53174	24602185	23471460.68	UST	
0001193125-25-293319	53730	602386046.1396	551780138.8254	UST	
0002071691-25-006423	53732	387777.73429819	413689.35205152	UST	
0001193125-25-293283	53728	254758518.0989	234212950.2242	UST	
0000035402-25-002272	53915	12884516	12588245.33	UST	
0000035402-25-002202	53891	20072987	20369349.98	UST	
0001410368-25-031954	54221	19203164.36	19016148.21	ACMBS	
0001410368-25-031954	54222	154010157.31	148741656.17	UST	
0000777535-25-000040	54225	33139.8	35905.11	UST	
0001410368-25-032026	54262	203219768.82	192384355.39	UST	
0000035402-25-001386	53200	154111594	151789725.27	UST	
0000035402-25-001441	53209	319024292	316369899.06	UST	
0000035402-25-001440	53210	91325622	89863852.94	UST	
0001410368-25-032289	54347	24044914.78	23114823.04	UST	
0002071691-25-007832	54407	152395725.5877	142788008.4675	UST	
0001004726-25-003417	55022	93593080	89149611.56999996	UST	
0001084380-25-000525	55138	138449992.52	141040048.33	UST	
0001410368-25-040405	54698	18069563.86	18069563.86	UST	
0001410368-25-042035	54836	4784447.09	4739806.26	ACMBS	
0001410368-25-042035	54837	306695.33	303979.4	AMBS	
0001410368-25-042035	54838	201539660.9	196617667.55	UST	
0001410368-25-040419	54702	1760.33	1606.75	UST	
0001410368-25-040425	54704	4521.12	4126.71	UST	
0001410368-25-040424	54703	679377798	664752120.73	UST	
0001410368-25-040430	54706	2400285525	2370730725.68	UST	
0001410368-25-039936	54616	90340419.79	88196194.75	UST	
0001193125-25-334199	55081	348344917.7512	319497983.992	UST	
0001193125-25-334202	55080	102530751.568	92640635.4742	UST	
0001193125-25-334214	55095	453664622.6078	460137118.3894	UST	
0000035402-25-002966	54932	60110	60857.36	UST	
0000035402-25-002946	54942	20422160	20678138.7	UST	
0001193125-25-334203	55082	161695074.334	145926282.6973	UST	
0000035402-25-003052	54981	360021487	358615051.02	UST	
0001193125-25-334200	55090	93787097.4555001	88967081.2506001	UST	
0001084380-25-000533	55144	133464510.87	141790392.9	UST	
0000035402-25-003068	54972	9962987	10032146.78	UST	
0001193125-25-334136	55079	598596.9824	570513.702	UST	
0000035402-25-002869	54888	36652845	37112240.26	UST	
0000035402-25-002972	54944	69797789	70672666.92	UST	
