HOLDING_ID	CONVERTIBLE_SECURITY_ID	CONVERSION_RATIO	CURRENCY_CODE
156086891	373130	.0211346	USD
156378081	374024	57.5261	USD
157755268	377671	.0214477	USD
157755275	377674	.0297351	USD
156305960	373677	1.50696	USD
157681847	377031	.1	USD
156086889	373128	.0084118	USD
157288838	376035	1	EUR
158496121	378401	449940.8295	HKD
158506123	378408	5.3835	USD
157702617	377235	21.4477	USD
157916314	377878	35	USD
156375632	374022	33.6303	USD
159166932	380572	34829.856153	USD
156078522	373126	.0084118	USD
157289917	376037	8089.1096	EUR
157681446	377016	.091112	MXN
157755270	377672	.018246	USD
157755283	377677	.0104994	USD
158496353	378403	8.5657	USD
156494311	375360	3.343	USD
158506295	378409	44.4587	USD
158497420	378406	78.5083	USD
156277085	373370	1000	USD
156305456	373675	1000	USD
157681852	377034	.0817508	USD
156317879	373680	1000	USD
156305019	373671	1000	USD
156305368	373673	1000	USD
157755273	377673	.004372	USD
156611160	375717		USD
158496339	378402	37.8896	USD
157702720	377236	6.5339	USD
156277329	373372	1000	USD
156371484	374018	154.3234	USD
157681849	377032	.02079002	SEK
157917352	377879	1	USD
157913776	377877	8089	EUR
157755280	377676	.001941	USD
158496438	378404	34.83	USD
158497718	378407	1.7098	USD
156390175	374031	12.3623	EUR
156367644	374010	118.8806	USD
156382111	374028	52.9672	USD
156086890	373129	.0078602	USD
157680245	376979	.0817508	USD
156305379	373674	1000	USD
157755278	377675	.0178517	USD
157907182	377876	.0297	USD
156616602	375723		USD
157703312	377238	8.8077	USD
156306097	373678	1000	USD
156369933	374015	118.00134049	USD
159285260	380904	0	EUR
159346772	381030	566.893424	GBP
159343099	381002	453.514739	USD
159347072	381032	408.496732	USD
159341442	380991	606.060606	GBP
159794023	382660	18181.8182	USD
159180549	380596	2.5327	USD
160909658	387917	.0044459	USD
159172866	380585	5.3835	USD
159342899	380998	1579.778831	GBP
159343011	381000	1314.060447	USD
159343076	381001	44.702727	USD
159343108	381003	37.76435	USD
159341820	380993	131.926121	USD
159185219	380610	25.58834	EUR
159189584	380618	.36324	JPY
159182517	380600	26.502212	EUR
159177656	380589	78.508298	USD
159183914	380606	10.516928	EUR
159184159	380607	106.474275	USD
159169813	380576	1.709825	USD
159342428	380996	121.80268	USD
159342559	380997	449.236298	USD
159184655	380608	2.42785	USD
159170047	380577	44.84506	EUR
159182956	380602	1923.076923	HKD
159183153	380603	81.750801	USD
159179322	380593	.49687	JPY
159343825	381005	44.702727	USD
159182501	380599	.359816	JPY
159345269	381016	44.702727	USD
159171959	380584	10.089677	USD
159173980	380588	.187326	JPY
159167088	380573	92.980009	EUR
159346363	381028	370.37037	GBP
159346683	381029	34.411562	USD
159287941	380909	606.060606	GBP
159291000	380910	111.111111	USD
159342308	380995	307.976594	USD
159131719	380521	10.7846	USD
159170052	380578	2.517623	JPY
159170536	380580	108.702741	USD
159171255	380582	101.463602	USD
159181967	380598	.36324	JPY
159345155	381015	598.802395	GBP
159345873	381026	200	USD
159346157	381027	0	USD
159342960	380999	34.411562	USD
159344167	381007	263.984583	USD
159186297	380612	15.471781	USD
159180538	380595	44.458701	USD
159165011	380569	9.8915	USD
160909657	387916	.0052005	USD
159183222	380604	9.689922	EUR
159346831	381031	606.060606	GBP
159186394	380613	21.1346	USD
159185049	380609	42.695996	EUR
159130173	380517	.4394	USD
159188664	380615	8.5657	USD
159171480	380583	17.015484	HKD
159189554	380617	37.792895	GBP
159179550	380594	81.750801	USD
159167556	380574	10.818	USD
160549578	385115	1000	USD
159128783	380516	9.6277	USD
159127819	380515	6.4799	USD
159163195	380566	37.889599	USD
160549950	385117	1000	USD
159169326	380575	25.614754	HKD
159133257	380527	.4394	USD
160549740	385116	1000	USD
159127488	380514	8.6238	USD
159132350	380523	4.7998	USD
159132480	380525	25.58834	EUR
159164005	380567	10.98241	EUR
159165570	380570	3.119771	EUR
159172914	380586	314.341056	GBP
159187286	380614	2.2005	USD
159173216	380587	52.82983	EUR
159131342	380520	9.689922	EUR
159127235	380513	44.84506	EUR
156086888	373127	.1176471	USD
157923647	377880	1	USD
156317279	373679	1000	USD
156305023	373672	1000	USD
157666052	376964	.0014872	USD
156304857	373669	1000	USD
157924531	377881	1	EUR
158496800	378405	2558.834	EUR
156277142	373371	1000	USD
156277599	373373	1000	USD
156305788	373676	1000	USD
156304866	373670	1000	USD
156373437	374020	23.1622	USD
156366696	374009	14.864	USD
159166725	380571	19.14689	USD
159345779	381024	29.638411	USD
159344127	381006	606.060606	GBP
159131918	380522	106.474275	USD
159180686	380597	72.727299	USD
159171050	380581	172.942371	HKD
159179024	380592	2.493144	USD
160894403	387912	.0014872	USD
159182575	380601	24.697458	USD
159170298	380579	18.518519	HKD
160909656	387915	.0297351	USD
159177845	380590	20.63025	HKD
159178715	380591	118.802942	EUR
159185746	380611	29.1189	USD
159189468	380616	5.231072	EUR
159343526	381004	20.771495	USD
159344665	381013	22.176489	USD
159183801	380605	40.806666	USD
160549543	385114	1000	USD
159132677	380526	14.2454	USD
159131014	380519	12.4262	USD
159164380	380568	775.193798	HKD
159132438	380524	163.800164	GBP
159162465	380565	124.054088	USD
159160612	380564	2.318894	USD
