ACCESSION_NUMBER	DESIGNATED_INDEX_NAME	DESIGNATED_INDEX_IDENTIFIER
0000035402-25-001478	Bloomberg US Aggregate Bond Index	19808143
0001410368-25-017902	Bloomberg U.S. MBS Index	LUMSTRUU
0001099263-25-004472		
0002071691-25-007738	N/A	N/A
0001410368-25-022019	Bloomberg U.S. Aggregate Bond Index	LBUSSTAT
0001193125-25-334136	60%/40% MSCI All Country World Index/Bloomberg Global Aggregate Index	60MXWO40LEGATRUU
0001099263-25-004447	Fund Securities Portfolio	0
0000898745-25-000869		
0002071691-25-010101	N/A	N/A
0000910472-25-005072		
0001193125-25-299124	Securities Portfolio	N/A
0001193125-25-293305	60%/40% S&P 500 Index/Bloomberg U.S. Aggregate Index	60SPX40LBUSTRUU
0001193125-25-251557	Bloomberg U.S. Aggregate Index	LBUSTRUU
0001410368-25-019349	BBg Barc US Corp 1-5 yrs TR Index	BC706T
0000106444-25-000235	Bloomberg U.S. 5-10 Year Credit Bond Index	I00648
0001003715-25-001305	N/A	N/A
0001193125-25-299121	Securities Portfolio	N/A
0001099263-25-004484		
0000035402-25-001486	Bloomberg US Aggregate Bond Index	19808143
0001410368-25-032903	Securities Portfolio VaR	Designated Reference Portfolio is the Fund's Securities Portfolio
0002071691-25-004187	N/A	N/A
0002071691-25-009466	N/A	N/A
0001099263-25-004485		
0002071691-25-007741	N/A	N/A
0001193125-25-293300	Bloomberg U.S. Aggregate Index	LBUSTRUU
0001099263-25-004413	Bloomberg US Aggregate Total Return Unhedged USD Index	LBUSTRUU
0002071691-25-007667	Fund`s Designated Reference Portfolio is the Fund`s Securities Portfolio	Fund`s Designated Reference Portfolio is the Fund`s Securities Portfolio
0000836906-25-000263	Bloomberg U.S. Intermediate Aggregate Excluding Baa	I03604US
0001099263-25-004419	Bloomberg Global Aggregate ex-USD Total Return Hedged Index	LG38TRUH
0001193125-25-334214	65%/35% S&P 500 Index/Bloomberg U.S. Aggregate Index	65SPX35LBUSTRUU
0001193125-25-334203	70%/30% MSCI All Country World Index/Bloomberg U.S. Aggregate Index	70MXWO30LBUSTRUU
0001410368-25-043401		
0000794105-25-000139	Bloomberg U.S. Treasury Inflation Protected Securities Index	I00062
0002071691-25-009449	N/A	N/A
0001193125-25-293287	Bloomberg U.S. Aggregate Index	LBUSTRUU
0001003715-25-001337	Core Plus Bond Guideline Benchmark (75%US Agg, 25%US HY 2% Issuer Cap)	37214
0000894189-25-015336	N/A	N/A
0001193125-25-334200	MSCI All Country World Index (ACWI)	MXWO
0002071691-25-007618	N/A	N/A
0002071691-25-007650	Bloomberg U.S. Corporate High Yield 2% Issuer Capped Index	LF89TRUU
0000940400-25-010634	Fund`s Designated Reference Portfolio is the Fund`s Securities Portfolio	Fund`s Designated Reference Portfolio is the Fund`s Securities Portfolio
0002071691-25-007652	N/A	N/A
0000106444-25-000232	Bloomberg U.S. 1-5 Year Credit Bond Index	I00643
0002071691-25-004164	N/A	N/A
0000035402-25-001445	Bloomberg US Aggregate Bond Index	19808143
0001193125-25-293559	60%/40% S&P 500 Index/Bloomberg U.S. Aggregate Index	60SPX40LBUSTRUU
0002071691-25-007646	N/A	N/A
0002071691-25-003725	N/A	N/A
0000940400-25-014474	PGIM Total Return Bond Fund_Ex Derivatives BM	N/A
0000035402-25-001446	Bloomberg US Aggregate Bond Index	19808143
0000894189-25-015338	N/A	N/A
0000035402-25-001416	Bloomberg US Aggregate Bond Index	19808143
0001193125-25-301809	Russell 1000 Growth Total Return Index	RUSSELL.MC.RLG
0002071691-25-003731	N/A	N/A
0002071691-25-003738	N/A	N/A
0001193125-25-301782	60% SP 500 Composite/ 40% Bloomberg U.S. Aggregate	IX08BM
0002071691-25-003733	N/A	N/A
0001193125-25-252339	N/A	N/A
0000035402-25-002218	Bloomberg US Aggregate Bond Index	19808143
0002071691-25-007782	N/A	N/A
0000913181-25-000365	Portfolio (ExDerivative)	N/A
0000035402-25-001447	Bloomberg US Aggregate Bond Index	19808143
0002071691-25-006501	Custom Blend: 50% US High Div Yield + 25% High Yield Very Liquid + 25% US Agg Index	HB10288
0001099263-25-004476	Bloomberg US Long Credit Total Return Unhedged Index	LULCTRUU
0002071691-25-007774	N/A	N/A
0001193125-25-296899	Bloomberg Barclays US Aggregate Bond Index Unhedged USD	LBUSTRUU
0002071691-25-007634	N/A	N/A
0002071691-25-007797	N/A	N/A
