HOLDING_ID	OTHER_DERIV_NOTIONAL_AMOUNT_ID	NOTIONAL_AMOUNT	CURRENCY_CODE
160323373	27309	294487	USD
158881291	26685	32412	CAD
158882907	26686	20135	EUR
159098429	26731	3400	USD
160001958	26885	28723	USD
160002334	26886	54163	USD
160002564	26888	157	USD
160001934	26884	7016	USD
160003843	26890	10076	USD
160003971	26891	3638	USD
160002396	26887	5421	USD
160004155	26892	3087	USD
160004414	26894	163412	USD
160004303	26893	24504	USD
160003367	26889	39881	USD
160001910	26883	26621	USD
160010347	26905	1526	USD
160007447	26897	26553	USD
160009520	26902	6186	USD
160009639	26903	42601	USD
160011139	26910	229171	USD
160007397	26896	19543	USD
160009394	26901	5210	USD
160010199	26904	32564	USD
160007345	26895	32675	USD
160008373	26899	5301	USD
160010795	26909	45912	USD
160008237	26898	21057	USD
160008739	26900	73954	USD
160010553	26908	5178	USD
160010380	26906	62650	USD
160015299	26912	76793	EUR
160011527	26911	16309	NOK
160010524	26907	69894	AUD
160015331	26913	61967	EUR
160015338	26914	4346	CHF
160021218	26917	13829	TWD
160021241	26921	7852	BRL
160021235	26920	68972	KRW
160021252	26923	1987	TWD
160024554	26926	7155711	QAR
160029059	26927	481952	BRL
160021229	26919	1232	KRW
160021246	26922	96269	TWD
160021258	26924	9090	THB
160021223	26918	6071	TWD
